Parent,Region,Organization,County,Mission/Goals,,Website,Contact Person,Email,Phone,xpos,ypos
Regional Works Council,1,Region 1 Works Council (Starke),Starke,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region1/index.htm,,,,56.74033091,738.5465065
Regional Works Council,1,Region 1 Works Council (Pulaski),Pulaski,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region1/index.htm,,,,46.87600674,668.574339
Workforce Investment Board,1,Northwest Indiana Workforce Board (Lake),Lake,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,http://gotoworkonenw.com/nwi-workforce-board/,,,,1315.085243,291.0354279
Workforce Investment Board,1,Northwest Indiana Workforce Board (Porter),Porter,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,http://gotoworkonenw.com/nwi-workforce-board/,,,,1293.936968,377.881482
Workforce Investment Board,1,Northwest Indiana Workforce Board (LaPorte),LaPorte,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,http://gotoworkonenw.com/nwi-workforce-board/,,,,1207.8496,294.1688183
Workforce Investment Board,1,Northwest Indiana Workforce Board (Newton),Newton,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,http://gotoworkonenw.com/nwi-workforce-board/,,,,1308.312661,333.9090252
Workforce Investment Board,1,Northwest Indiana Workforce Board (Jasper),Jasper,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,http://gotoworkonenw.com/nwi-workforce-board/,,,,1205.278107,337.2959798
Workforce Investment Board,1,Northwest Indiana Workforce Board (Starke),Starke,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,http://gotoworkonenw.com/nwi-workforce-board/,,,,1189.682715,391.1601469
Workforce Investment Board,1,Northwest Indiana Workforce Board (Pulaski),Pulaski,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,http://gotoworkonenw.com/nwi-workforce-board/,,,,1112.122185,352.0546948
Community Foundation,1,Crown Point Community Foundation,Lake,To enrich the quality of life in Crown Point and Northwest Indiana by: providing financial assistance to fund a broad range of community needs maximizing charitable gifts by utilizing current tax law directing resources in a manner tailored to meet donors? specific needs managing endowment assets which will meet philanthropic needs.,,http://crownpointcommunityfoundation.org/index.php,"Patricia Huber, Executive Director",cpcf@sbcglobal.net,219-662-7252,68.53642931,438.8559625
Community Foundation,1,The Jasper Foundation Inc.,Jasper,The purpose of our Foundations is to assist donors in creating a source of assets to meet the ongoing and changing charitable needs and interests of the people living in all of our Jasper and Newton County Communities,,http://www.jasperfdn.org/,"Linda Reiners, Executive Director",jasper@liljasper.com,219-866-5899,170.053106,447.7941643
Community Foundation,1,Legacy Foundation Inc.,Lake,Building a culture of philanthropy across generations that will positively transform Lake County,,http://www.legacyfdn.org/,"Nancy Johnson, President/Executive Director",njohnson@legacyfoundationlakeco.org,219-736-1880,146.1829982,514.0180413
Community Foundation,1,The Porter County Community Foundation Inc.,Porter,We inspire giving and engage our community to improve lives in Porter County now and forever.,,http://www.portercountyfoundation.org/,"Brenda Sheetz, Program Administrator",bsheetz@portercountyfoundation.org,219-465-0294,67.41736472,389.8278478
Community Foundation,1,Pulaski County Community Foundation,Pulaski,The Pulaski County Community Foundation encourages the growth of endowed funds to serve and enrich our community today and tomorrow.,,http://www.pulaskiccf.org/,,wrose@pulaskionline.org,574-946-0906,64.51343279,506.2786518
Community Foundation,1,Unity Foundation of LaPorte County Inc,LaPorte,"The Unity Foundation will strengthen La Porte County now and forever by: Building permanent endowments,Providing leadership, Offering philanthropic vehicles for everyone, Being a catalyst for social and economic vitality",,http://uflc.net/,"Maggi Spartz, President",mspartz@uflc.net,219-879-0327,80.10331335,472.2483877
Regional Planning Initiative,1,Center of Workforce Innovations,Porter,"The mission of CWI is to be a catalyst for community and business investment in building and aligning workforce, education, and economic development strategies while accelerating economic growth for regions and states.",,http://www.innovativeworkforce.com/,,,219-462-2940,1220.955929,1261.249075
Regional Planning Initiative,1,Northwest Indiana Area Health Education Center (Lake),Lake,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://webs.purduecal.edu/nwi-ahec/,Sandra Behrens,sandra.behrens@purduecal.edu,219-989-2187,1143.065861,1362.068061
Regional Planning Initiative,1,Northwest Indiana Area Health Education Center (Jasper),Jasper,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://webs.purduecal.edu/nwi-ahec/,Sandra Behrens,sandra.behrens@purduecal.edu,219-989-2187,1008.037045,1428.340888
Regional Planning Initiative,1,Northwest Indiana Area Health Education Center (LaPorte),LaPorte,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://webs.purduecal.edu/nwi-ahec/,Sandra Behrens,sandra.behrens@purduecal.edu,219-989-2187,1235.921354,1356.195991
Regional Planning Initiative,2,Northwest Indiana Area Health Education Center (Marshall),Marshall,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://webs.purduecal.edu/nwi-ahec/,Sandra Behrens,sandra.behrens@purduecal.edu,219-989-2187,929.0977276,738.9237561
Regional Planning Initiative,1,Northwest Indiana Area Health Education Center (Newton),Newton,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://webs.purduecal.edu/nwi-ahec/,Sandra Behrens,sandra.behrens@purduecal.edu,219-989-2187,1204.896966,1408.154037
Regional Planning Initiative,1,Northwest Indiana Area Health Education Center (Porter),Porter,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://webs.purduecal.edu/nwi-ahec/,Sandra Behrens,sandra.behrens@purduecal.edu,219-989-2187,1048.958473,1361.945158
Regional Planning Initiative,2,Northwest Indiana Area Health Education Center (StJoseph),StJoseph,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://webs.purduecal.edu/nwi-ahec/,Sandra Behrens,sandra.behrens@purduecal.edu,219-989-2187,768.5943459,813.300837
Regional Planning Initiative,1,Northwest Indiana Area Health Education Center (Starke),Starke,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://webs.purduecal.edu/nwi-ahec/,Sandra Behrens,sandra.behrens@purduecal.edu,219-989-2187,1109.609203,1414.503321
Regional Works Council,2,Region 2 Works Council (StJoseph),StJoseph,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region2/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,468.9716293,917.4923442
Regional Works Council,2,Region 2 Works Council (Elkhart),Elkhart,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region2/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,459.9792627,953.5737749
Regional Works Council,2,Region 2 Works Council (Marshall),Marshall,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region2/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,554.0528071,952.051542
Regional Works Council,2,Region 2 Works Council (Kosciusko),Kosciusko,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region2/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,557.3792629,904.8818667
Regional Works Council,2,Region 2 Works Council (Fulton),Fulton,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region2/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,499.341237,996.393793
Workforce Investment Board,2,Northern Indiana Workforce Board (StJoseph),StJoseph,Not Readily Available,,http://www.gotoworkone.com/home/index.asp?page=10&recordid=821,Not Readily Available,Not Readily Available,Not Readily Available,1411.233883,112.6815895
Workforce Investment Board,2,Northern Indiana Workforce Board (Elkhart),Elkhart,Not Readily Available,,http://www.gotoworkone.com/home/index.asp?page=10&recordid=821,Not Readily Available,Not Readily Available,Not Readily Available,1314.86035,100.3337879
Workforce Investment Board,2,Northern Indiana Workforce Board (Marshall),Marshall,Not Readily Available,,http://www.gotoworkone.com/home/index.asp?page=10&recordid=821,Not Readily Available,Not Readily Available,Not Readily Available,1409.008295,23.68791081
Workforce Investment Board,2,Northern Indiana Workforce Board (Kosciusko),Kosciusko,Not Readily Available,,http://www.gotoworkone.com/home/index.asp?page=10&recordid=821,Not Readily Available,Not Readily Available,Not Readily Available,1412.989115,67.95078846
Workforce Investment Board,2,Northern Indiana Workforce Board (Fulton),Fulton,Not Readily Available,,http://www.gotoworkone.com/home/index.asp?page=10&recordid=821,Not Readily Available,Not Readily Available,Not Readily Available,1335.764518,140.1328088
Community Foundation,2,Community Foundation of St. Joesph County,StJoseph,Not Readily Available,,http://www.cfsjc.org/,Not Readily Available,info@cfsjc.org,574-232-0041,212.7493768,204.1181478
Community Foundation,2,Elkhart County Community Foundation Inc. ,Elkhart,To improve the quality of life in Elkhart County by inspiring generosity,,http://www.elkhartccf.org/,"Shannon Oakes, Office Manager",shannon@elkhartccf.org,574-295-8761,244.4349923,334.6961164
Community Foundation,2,Kosciusko County Community Foundation,Kosciusko,Not Readily Available,,http://www.kcfoundation.org/,"Suzanne Light, Executive Director",kcf@kcfoundation.org,574-267-1901,244.6906187,246.3837736
Community Foundation,2,Marshall County Community Foundation,Marshall,Not Readily Available,,http://marshallcountycf.org/,Not Readily Available,info@marshallcountycf.org,574-935-5159,300.836143,206.6286342
Community Foundation,2,Northern Indiana Community Foundation (Fulton),Fulton,"The Community Foundation creates and grows lasting endowments to fulfill donors' charitable goals while serving the needs of the community. The Community Foundations provide for permanence, flexibility, and reduction of tax burden for donors. It is a charitable public trust established under state and federal tax code, as a vehicle for people of all means to make a lasting difference in their community.",,http://nicf.org/,"Terri L. Johnson, Executive Director",terri@nicf.org,574-223-2227,233.7940196,290.613992
Community Foundation,4,Northern Indiana Community Foundation (Miami),Miami,"The Community Foundation creates and grows lasting endowments to fulfill donors' charitable goals while serving the needs of the community. The Community Foundations provide for permanence, flexibility, and reduction of tax burden for donors. It is a charitable public trust established under state and federal tax code, as a vehicle for people of all means to make a lasting difference in their community.",,http://nicf.org/,"Terri L. Johnson, Executive Director",terri@nicf.org,574-223-2227,495.9934826,26.34858313
Community Foundation,1,Northern Indiana Community Foundation (Starke),Starke,"The Community Foundation creates and grows lasting endowments to fulfill donors' charitable goals while serving the needs of the community. The Community Foundations provide for permanence, flexibility, and reduction of tax burden for donors. It is a charitable public trust established under state and federal tax code, as a vehicle for people of all means to make a lasting difference in their community.",,http://nicf.org/,"Terri L. Johnson, Executive Director",terri@nicf.org,574-223-2227,74.91572269,344.8936633
Regional Planning Initiative,4,North Central Indiana Area Health Education Center (Benton),Benton,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.nciahec.org/,Jeremy Ashcraft,ahec@fultondevelopment.org,574-223-2212,1323.959206,1141.586558
Regional Planning Initiative,4,North Central Indiana Area Health Education Center (Carroll),Carroll,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.nciahec.org/,Jeremy Ashcraft,ahec@fultondevelopment.org,574-223-2212,1408.570614,1220.082869
Regional Planning Initiative,4,North Central Indiana Area Health Education Center (Cass),Cass,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.nciahec.org/,Jeremy Ashcraft,ahec@fultondevelopment.org,574-223-2212,1320.212989,1191.329686
Regional Planning Initiative,4,North Central Indiana Area Health Education Center (Clinton),Clinton,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.nciahec.org/,Jeremy Ashcraft,ahec@fultondevelopment.org,574-223-2212,1402.463414,1397.692771
Regional Planning Initiative,2,North Central Indiana Area Health Education Center (Fulton),Fulton,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.nciahec.org/,Jeremy Ashcraft,ahec@fultondevelopment.org,574-223-2212,884.7061499,835.566129
Regional Planning Initiative,4,North Central Indiana Area Health Education Center (Howard),Howard,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.nciahec.org/,Jeremy Ashcraft,ahec@fultondevelopment.org,574-223-2212,1301.402726,1412.907022
Regional Planning Initiative,4,North Central Indiana Area Health Education Center (Miami),Miami,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.nciahec.org/,Jeremy Ashcraft,ahec@fultondevelopment.org,574-223-2212,1333.456122,1360.355239
Regional Planning Initiative,1,North Central Indiana Area Health Education Center (Pulaski),Pulaski,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.nciahec.org/,Jeremy Ashcraft,ahec@fultondevelopment.org,574-223-2212,1201.524714,1297.569611
Regional Planning Initiative,4,North Central Indiana Area Health Education Center (Tippecanoe),Tippecanoe,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.nciahec.org/,Jeremy Ashcraft,ahec@fultondevelopment.org,574-223-2212,1400.198874,1109.307967
Regional Planning Initiative,4,North Central Indiana Area Health Education Center (Tipton),Tipton,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.nciahec.org/,Jeremy Ashcraft,ahec@fultondevelopment.org,574-223-2212,1400.598434,1326.629295
Regional Planning Initiative,4,North Central Indiana Area Health Education Center (White),White,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.nciahec.org/,Jeremy Ashcraft,ahec@fultondevelopment.org,574-223-2212,1405.872727,1165.064945
Regional Works Council,3,Region 3 Works Council (LaGrange),LaGrange,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region3/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,428.3796755,713.6480043
Regional Works Council,3,Region 3 Works Council (Steuben),Steuben,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region3/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,437.6687891,680.3400068
Regional Works Council,3,Region 3 Works Council (Noble),Noble,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region3/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,495.0666632,798.8012934
Regional Works Council,3,Region 3 Works Council (DeKalb),DeKalb,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region3/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,468.504652,878.1464627
Regional Works Council,3,Region 3 Works Council (Whitley),Whitley,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region3/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,404.161672,800.4732078
Regional Works Council,3,Region 3 Works Council (Allen),Allen,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region3/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,464.358008,829.0288778
Regional Works Council,3,Region 3 Works Council (Wabash),Wabash,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region3/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,362.0889643,916.8552637
Regional Works Council,3,Region 3 Works Council (Huntington),Huntington,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region3/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,376.320672,844.6948639
Regional Works Council,3,Region 3 Works Council (Wells),Wells,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region3/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,374.0363726,949.1327069
Regional Works Council,3,Region 3 Works Council (Adams),Adams,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region3/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,420.6337052,766.6358955
Regional Works Council,3,Region 3 Works Council (Grant),Grant,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region3/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,356.9061811,877.8287743
Workforce Investment Board,3,Northeast Indiana Regional Workforce Board (LaGrange),LaGrange,Not Readily Available,,http://www.workonenortheast.org/regional-information/regional-workforce-investment-board.html,Not Readily Available,Not Readily Available,(260) 724-2037,979.2917628,285.8549713
Workforce Investment Board,3,Northeast Indiana Regional Workforce Board (Steuben),Steuben,Not Readily Available,,http://www.workonenortheast.org/regional-information/regional-workforce-investment-board.html,Not Readily Available,Not Readily Available,(260) 724-2037,903.6935488,370.2504885
Workforce Investment Board,3,Northeast Indiana Regional Workforce Board (Noble),Noble,Not Readily Available,,http://www.workonenortheast.org/regional-information/regional-workforce-investment-board.html,Not Readily Available,Not Readily Available,(260) 724-2037,1087.434497,270.6839171
Workforce Investment Board,3,Northeast Indiana Regional Workforce Board (DeKalb),DeKalb,Not Readily Available,,http://www.workonenortheast.org/regional-information/regional-workforce-investment-board.html,Not Readily Available,Not Readily Available,(260) 724-2037,1112.429645,309.825357
Workforce Investment Board,3,Northeast Indiana Regional Workforce Board (Whitley),Whitley,Not Readily Available,,http://www.workonenortheast.org/regional-information/regional-workforce-investment-board.html,Not Readily Available,Not Readily Available,(260) 724-2037,872.7462158,294.3261297
Workforce Investment Board,3,Northeast Indiana Regional Workforce Board (Allen),Allen,Not Readily Available,,http://www.workonenortheast.org/regional-information/regional-workforce-investment-board.html,Not Readily Available,Not Readily Available,(260) 724-2037,1282.553948,236.7261221
Workforce Investment Board,3,Northeast Indiana Regional Workforce Board (Wabash),Wabash,Not Readily Available,,http://www.workonenortheast.org/regional-information/regional-workforce-investment-board.html,Not Readily Available,Not Readily Available,(260) 724-2037,1009.525125,325.5504314
Workforce Investment Board,3,Northeast Indiana Regional Workforce Board (Huntington),Huntington,Not Readily Available,,http://www.workonenortheast.org/regional-information/regional-workforce-investment-board.html,Not Readily Available,Not Readily Available,(260) 724-2037,905.0489988,332.5372154
Workforce Investment Board,3,Northeast Indiana Regional Workforce Board (Wells),Wells,Not Readily Available,,http://www.workonenortheast.org/regional-information/regional-workforce-investment-board.html,Not Readily Available,Not Readily Available,(260) 724-2037,1005.843016,366.0576856
Workforce Investment Board,3,Northeast Indiana Regional Workforce Board (Adams),Adams,Not Readily Available,,http://www.workonenortheast.org/regional-information/regional-workforce-investment-board.html,Not Readily Available,Not Readily Available,(260) 724-2037,1179.797404,250.1687409
Workforce Investment Board,3,Northeast Indiana Regional Workforce Board (Grant),Grant,Not Readily Available,,http://www.workonenortheast.org/regional-information/regional-workforce-investment-board.html,Not Readily Available,Not Readily Available,(260) 724-2037,1032.104852,232.9897523
Community Foundation,3,Adam County Community Foundation,Adams,Building partnerships between donors and communityÿto enrich and enhanceÿthequality of life inÿAdamsÿCounty.,,http://www.adamscountyfoundation.org/,Not Readily Available,accfoundation@earthlink.net,ÿ(260) 724-3939,765.1382371,208.7659849
Community Foundation,3,Community Foundation of Grant County,Grant,"The mission of the Community Foundation of Grant County is to connect people, resources, and causes to promote sustainable impact towards the betterment of Grant County.",,http://givetogrant.org/,Elizabeth Wright,foundationoffice@comfdn.org,765-662-0065,662.4667118,282.3920527
Community Foundation,3,Community Foundation of Greater Fort Wayne,Allen,"The mission of the Community Foundation of Greater Fort Wayne is to serve as a community leader to improve the quality of life by building permanent endowments, promoting effective grantmaking, fostering philanthropy, stimulating community dialogue, and helping donors achieve their charitable goals",,http://www.cfgfw.org/,Annette Smith,asmith@cfgfw.org,260-426-4083,646.3809903,330.3624694
Community Foundation,3,Community Foundation of Wabash County,Wabash,"We serve the citizens of Wabash County by implementing their charitable aspirations, making grants, investing and safeguarding charitable assets, providing information regarding charitable endeavors, and convening citizens and linking resources to address issues confronting our shared lives.ÿ",,http://www.cfwabash.org/,Not Readily Available,info@cfwabash.org,260-982-4824,759.7150175,557.4995049
Community Foundation,3,Community Foundation Partnership Inc.,Grant,Not Readily Available,,http://cfpartner.org/,"Hope Flores, Executive Director",hope@cfpartner.org,812-279-2215,735.6842196,337.6709798
Community Foundation,3,DeKalb County Community Foundation Inc.,DeKalb,The Community Foundation of DeKalb County promotes community philanthropy by offering local citizens the opportunity to leave a charitable legacy that will sustain and improve life in our county,,http://www.dekalbfoundation.org/,"Rosie Shinkel, Program Manager",rshinkel@dekalbfoundation.org,260-925-0311,743.4992231,421.91051
Community Foundation,3,Huntington County Community Foundation,Huntington,"Established in 1991, the Huntington County Community Foundation's mission is to work to enhance the quality of life in Huntington County, providing leadership and opportunities through the development and utilization of a growing endowment fund.",,http://www.huntingtonccf.org/,Not Readily Available,info@huntingtonccf.org,260-356-8878,805.9629081,155.2868797
Community Foundation,3,Lagrange County Community Foundation Inc.,LaGrange,"The mission of LaGrange County Community Foundation is to inspire and sustain generosity, leadership and service in our community",,http://www.lccf.net/,"Ms. Laura Lemings, Executive Director",lccf@lccf.net,260-463-4363,737.8449817,250.1605508
Community Foundation,3,Noble County Community Foundation,Noble,"To improve the quality of life in Noble County by serving as a catalyst for positive change, enabling donors to carry out charitable intent, and making grants.",,http://noblecountycf.org/,Margarita White,info@noblecountycf.org,260-894-3335,745.6025912,469.8915413
Community Foundation,3,Steuben County Community Foundation,Steuben,Connecting people who care with needs that matter to our community,,http://www.steubenfoundation.org/home/4583313294,"Sharon Stroh, President & CEO",sccf@locl.net,260-665-6656,759.493361,516.3312672
Community Foundation,3,Wabash Valley Community Foundation Inc.,Wabash,"The Wabash Valley Community Foundation Inc's mission is engaging people, building resources and strengthening community.",,http://www.wvcf.com/,"Beth Telvin, Executive Director",beth@wvcf.com,812-232-2234,574.0243465,282.5303234
Community Foundation,3,Wells County Foundation Inc.,Wells,The mission of the Wells County Foundation is to enhance the present and future quality of life of the Wells County Community.ÿ,,http://www.wellscountyfound.org/,"Tammy Slater, CEO",wellscountyfound@wellscountyfound.org,260-824-8620,731.4616159,306.6445144
Community Foundation,3,Whitley County Community Fouundation. ,Whitley,Not Readily Available,,http://www.whitleycountycommunityfoundation.org/,"John Slavich, Program Officer",sepwccf@gmail.com,260-244-5224,747.0106223,377.2482615
Regional Planning Initiative,3,The Big Goal Collaborative,Allen,The Big Goal is one of seven priorities identified by Vision 2020. It aims to increase the percentage of Northeast Indiana residents with high-quality degrees or credentials to 60% by 2025.,,http://www.neindiana.com/vision/priorities/big-goal-collaborative,Ryan Twiss,Ryan@NEIndiana.com,260-469-3469,1199.841071,944.1385926
Regional Works Council,4,Region 4 Works Council (Benton),Benton,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region4/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,317.0102578,783.1515154
