Organization,Category,Mission/Goals,Service Area (Region),County,Also Serving,Region,Website,Contact Person,Email,Phone
"Families of JCYC, Inc",Child Care Center,"Our mission is to provide child care, learning activities, and youth activities in a safe, nurturing, and educational environment.","Jasper, Newton, Starke county residents",Jasper,"Newton, Starke",1,www.gibault.org/jasper/index.html,Stacie Minix,familiesofjcyc@gmail.com,(219) 866-2179
Forest Ridge Academy,School Age Program,Not provided,Lake county residents,Lake,n/a,1,,Cindy Arnold,,(219) 756-7300
Gary Area Career Center,CTE Center,"Each student will strive to be productive, responsible, and caring citizen in a diverse, global and technological world through an accelerated and enriched differentiated curriculum for academically advanced students.","School Corporations : #4690 Gary, #4600 Merrillville, #4590 River Forest",Lake,n/a,1,http://www.garycsc.k12.in.us/schools/gary-area-career-center/,Robert Doctor,rdoctor@garycsc.k12.in.us,219-962-7571 Ext. 220
Gary Community School Corp,School Discticts /Corporations,,,Lake,,1,,,,
Gary West Side Leadership Academy,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Gary Community School Corporation,Lake,n/a,1,http://www.garycsc.k12.in.us/schools/west-side-leadership-academy/ ,Sandra Mosley,smosley@gotoworkonenw.com,219-981-4100
Gary WorkOne,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",City of Gary out of school youth,Lake,n/a,1,http://gotoworkonenw.com/ ,Sandra Mosley,smosley@gotoworkonenw.com,219-981-4100
GEMINUS CORPORATION,Head Start,"Head Start promotes school preparation by enhancing the social and cognitive development of children through the provision of educational, health, nutritional, social and other services.","1 location in Cedar Lake, 1 location in East Chicago, 3 locations in Gary, 2 locations in Griffith, 7 locations in Hammond, 2 locations in Hobart, 2 locations in Lake Station, 2 locations in Merrillville, 2 locations in Valparaiso",Lake,"Lake Station, Morgan, Porter",1,http://www.geminus.org ,Not Readily Available,karen.carradine@geminus.org,(219) 757-1842
"Grand Tots, Inc.",Child Care Center,"Provide a safe, educational environment, art activities, tutoring, choice groups, and gross motor skills activities.",Lake county residents,Lake,n/a,1,grandtotsdaycare.com,Cheryl Reynolds,grandtots101@aol.com,(219) 374-6025
Griffith Public Schools,School Discticts /Corporations,,,Lake,,1,,,,
Growing Kids Learning Center Valparaiso,Child Care Center,full day private kindergarten/ summer camp and before and after school care as well as transportation and evening care,Porter county residents,Porter,n/a,1,http://www.growingkids.com,Angie Reyes,director.campbell@growingkids.com,(219) 462-7777
Hammond Family YMCA ,School Age Program,"The Hammond Branch YMCA offers convenient, affordable, safe and dependable childcare for working parents in schools throughout Hammond and Whiting.  Before and After School cdare is offered for childdren in grades K-5th grade.  Half a Day (Y-Pals) is also available for children attending kindergarten in the AM and PM classes.  Care is offered on school vacation for grades K-8th grade at the Hammond Branch YMCA.  In case of an emergency school closing, the YMCA facility will provide childcare for that day. Program curriculum includes: games, arts & crafts, alcohol & drug prevention and homework assistance.",Lake county residents,Lake,n/a,1,,Gloria Bell,gbell@crymca.org,(219) 933-2464
Hammond High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",School City of Hammond,Lake,n/a,1,http://sch-hhs.ss4.sharpschool.com/ ,Sandra Mosley,smosley@gotoworkonenw.com,219-981-4100
Hanover Community School Corp,School Discticts /Corporations,,,Lake,,1,,,,
Happy Days Child Care - Merrillville South,School Age Program,Home work help. Art projects and summer camp which focus on team building through sports and field trips.,Lake county residents,Lake,n/a,1,,Lori Broaders,marys@happydaysinc.com,(219) 769-6005
Hayes Leonard Elementary,School Age Program,Not provided,Porter county residents,Porter,n/a,1,,Hayes Leonard Elementary,,(219) 531-3060
Hobart Family YMCA - Summer Program,School Age Program,Not provided,Lake county residents,Lake,n/a,1,,Sharon Tarry,,(219) 942-2183
Imagination Station Child Development Center,Child Care Center,"We offer summer programming for school-aged children aged 6 - 12 years. We also provide full-day kindergarten.Adventure Camp, the day camp is vacation care for school-age children. They can enjoy enriching activities that are nothing but FUN!Swimming LessonsMusic & Rhythm ActivitiesComputer InstructionFitness ProgramZoo EducationProfessional Art InstructionTeam Building Challenge CourseCraft ProjectsChallenging Outdoor Games & PlaygroundsJournaling, Reading, Science Projects & Math GamesField trips for this group include weekly visits to museums, national and state parks, the beach, and much, much more!","LaPorte, Porter county residents",LaPorte,Porter,1,www.childcareimaginationstation.org,Sallie Signorino,imaginationstation@comcast.net,(219) 872-6723
Kankakee Valley School Corp,School Discticts /Corporations,,,Jasper,,1,,,,
Kids First Academy,Child Care Center,After School Care,Lake county residents,Lake,n/a,1,,Janelle Turich,kidsfirsthighland@yahoo.com,(219) 923-5437
Knox Community School Corp,School Discticts /Corporations,,,Starke,,1,,,,
Knox High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Knox Community School Corporation,Starke,n/a,1,http://hs.knox.k12.in.us/ ,Sandra Mosley,smosley@gotoworkonenw.com,219-981-4100
La Petite Academy,Child Care Center,before/after school care/summer care,Porter county residents,Porter,n/a,1,www.lapetite.com,Rachel Mitchell,rmitchell@lapetite.com,(219) 983-1757
Lake Central School Corp,School Discticts /Corporations,,,Lake,,1,,,,
Lake Ridge Schools,School Discticts /Corporations,,,Lake,,1,,,,
Lake Station Community Schools,School Discticts /Corporations,,,Lake,,1,,,,
LaPorte Community School Corp,School Discticts /Corporations,,,LaPorte,,1,,,,
LaPorte County Family YMCA - School Age Program,School Age Program,"Children participate in age appropriate activities that help to ensure a strong body, mind and spirit.",LaPorte county residents,LaPorte,n/a,1,www.lpymca.org,David Kasarda,dkasarda@lpymca.org,(219) 325-9622
Little U Academy,Child Care Center,"Summer Camp: Up to three field trips per week. Art activites and educational programs through the week. Before/Afterschool: Transportation available. Snack. Homework help. Off-school days: Provide care, meals and fun for those days school is ""off"" or even on most incliment days school is closed",Porter county residents,Porter,n/a,1,www.littleuacademy.com,Any Manager,director@littleuacademy.com,(219) 477-5858
M S D Boone Township,School Discticts /Corporations,,,Porter,,1,,,,
M S D of New Durham Township,School Discticts /Corporations,,,LaPorte,,1,,,,
Merchants of Hope Enrichment Academy,Child Care Center,We collaborate with the New Mission of Jesus Christ that offers an after school program titled ALTERNATIVES...to Bridging the Gap. During this program children receive tutoring and additional assistance in reading and mathematics.,Lake county residents,Lake,n/a,1,,Erika Watkins,wdjohn123@yahoo.com,(219) 398-9810
Merrillville Community School,School Discticts /Corporations,,,Lake,,1,,,,
Michigan City Area Schools,School Discticts /Corporations,,,LaPorte,,1,,,,
Midwest Elite Preparatory Academy Inc.,Child Care Center,School,Lake county residents,Lake,n/a,1,www.MidwestElitePrepAcademyInc.com,Ronda Payne,rtpchildcare@hotmail.com,(219) 794-1040
Mosaic SHAPED,School Age Program,"The Safe House Afterschool Program Extended Day(SHAPED) is a community service project that reaches out to troubled families from Gary, Indiana. This afterschool project provides educational support, counseling, and community services to youth ages 5-12 grades K-6, well as support to their families. We also provide guidance, academic, character enhancement, and personal skills development and support for teens and young adults with drug, alcohol, and social adjustment problems. SHAPED is a source of inspiration for developing character, positive values and academic proficiency for positive living. Goal 1. To improve academic skills and gain success in school o Objectives: ? Provide daily tutoring ? Incorporate the use of the STEM program in our turoring sessions ? Provide intensive reading opportunities and skill building workshops ? Work directly with local schools and parents to improve attendance, Discipline, and achievement while in local school. Goal 2. To guide students to avoid entrapment in substance abuse, crime involvement, violence and poor self esteem. Objectives: ? Initiate age-appropriate conflict resolution, Violence and substance abuse prevention workshops ? Career exploration, field trips, and other enrichment projects ? Explore creative activities including music, dance, and fine arts Goal 3. To provide enrichment activities for parents/ families of youth involved in SHAPED. Objectives: ? Develop on going parent workshops, seminars, and parenting support opportunities ? .Parent enrichment opportunities to guide parent awareness of recreational, social, educational, and other positive community resources.","Lake, LaPorte county residents",Lake,LaPorte,1,www.mosaicschools.org,Andrea Coffer,acoffer@mosaicschools.org,(219) 939-7554
My Safari Preparatory Academy,Child Care Center,math and literacy enrichment,Lake county residents,Lake,n/a,1,,Monica Smothers,mysafariprep@gmail.com,(219) 884-1970
My School Child Care and Learning Center,Child Care Center,Kindergarten enrichment program for children who do not make the cut off date for Kindergarten. We offer a before and after school program and a summer camp program for kindergarten through 12 yrs. of age,"Lake, Porter county residents",Lake,Porter,1,myschoolchildcare.org,Kelly Manis,myschoolchildcare@yahoo.com,(219) 662-6350
New Prairie United School Corp,School Discticts /Corporations,,,LaPorte,,1,,,,
North Judson-San Pierre Sch Corp,School Discticts /Corporations,,,Starke,,1,,,,
North Newton - Lake Village After School,School Age Program,Program helps with homework-Keeps children busy-games-legos-gym.  Mission is to keep busy and safe.,Newton county residents,Newton,n/a,1,nn.k12.in.us,Amy Anderson,jsickler@nn.k12.in.us,(219) 285-2228
North Newton School Corp,School Discticts /Corporations,,,Newton,,1,,,,
North Newton/Morocco Elem. After School Child Care,School Age Program,Not provided,Newton county residents,Newton,n/a,1,,North Newton/Morocco Elem. After School Child Care,jsickler@nn.k12.in.us,(219) 285-2252
Oregon-Davis School Corp,School Discticts /Corporations,,,Starke,,1,,,,
Portage Township Schools,School Discticts /Corporations,,,Porter,,1,,,,
Portage Township YMCA No Bummer Summer Camp,School Age Program,"Our Mission To put Christian principles into practice through programs that build healthy spirit, mind, and body for all. Our Cause At the Y, strengthening community is our cause. Every day, we work side-by-side with our neighbors to make sure that everyone, regardless of age, income or background, has the opportunity to learn, grow and thrive. Our Values The Y is guided by five core values: caring, honesty, respect, responsibility, and faith. Our values provide a positive foundation for all who enter our doors. Staff and members celebrate these values and celebrated by staff and members and provide a positive foundation for all Y programs and a healthy connection with others. The Portage Township YMCA adopted Faith as a fifth core value in 2010. Faith is ""confidence or trust in a person or thing that is not based on proof.",Porter county residents,Porter,n/a,1,www.ymcaofportage.org,Ms. CC,ms.cc@ymcaofportage.org,(219) 762-9622
Portage Township YMCA Y-Care @ Aylesworth Elementary,School Age Program,"Our Before and After School Care, affectionately known as Y Care, helps make certain the time gaps before and after school are filled with opportunities for kids to explore and develop their interests and talents. With a focus on safety, health, social growth, and academic achievement, boys and girls discover who they are and what they can achieve.",Porter county residents,Porter,n/a,1,www.ymcaofportage.org,Ms. CC,ms.cc@ymcaofportage.org,(219) 762-9622
Portage Township YMCA Y-Care @ Jones Elementary,School Age Program,"Our Before and After School Care, affectionately known as Y Care, helps make certain the time gaps before and after school are filled with opportunities for kids to explore and develop their interests and talents. With a focus on safety, health, social growth, and academic achievement, boys and girls discover who they are and what they can achieve.",Porter county residents,Porter,n/a,1,www.ymcaofportage.org,Ms. CC,ms.cc@ymcaofportage.org,(219) 762-9622
Porter County Career and Technical Education,CTE Center,"Vision: Everyone will be given the opportunity to reach their fullest potential. We will provide a positive, safe, and secure environment for students to learn and achieve. A collaborative partnership among parents, teachers, staff, and the business community will assume responsibility for the future success of our students. Mission: To provide the opportunity for everyone to be successful at work and in life!","School Corporations : #4730 School City of Hobart, #6460 MSD Boone Township, #6520 Porter Township, #6530 Union Township, #6470 Duneland, #6550 Portage Township, #6560 Valparaiso, #6510 East Porter County",Porter,Lake,1,www.pccte.org,Jon Groth,jgroth@valpo.k12.in.us,219-531-3170 Ext.8225
Porter Township School Corp,School Discticts /Corporations,,,Porter,,1,,,,
Premier Child Care & Learning Centers,Child Care Center,We offer after school homework helpers as well as camps including field trips for the schoolagers.,Lake county residents,Lake,n/a,1,,Michelle Moeller,premiernaeyc@yahoo.com,(219) 865-5437
Rensselaer Central School Corp,School Discticts /Corporations,,,Jasper,,1,,,,
River Forest Community Sch Corp,School Discticts /Corporations,,,Lake,,1,,,,
School City of East Chicago,School Discticts /Corporations,,,Lake,,1,,,,
School City of Hammond,School Discticts /Corporations,,,Lake,,1,,,,
School City of Hobart,School Discticts /Corporations,,,Lake,,1,,,,
School Town of Highland,School Discticts /Corporations,,,Lake,,1,,,,
School Town of Munster,School Discticts /Corporations,,,Lake,,1,,,,
South Central Com School Corp,School Discticts /Corporations,,,LaPorte,,1,,,,
South Newton School Corp,School Discticts /Corporations,,,Newton,,1,,,,
Southlake Career Cooperative,CTE Center,Not readily available.,"School Corporations : #4580 Hanover, #4645 Tri-Creek, #4660 Crown Point",Lake,n/a,1,,Dan Grayson,dgrayson@tricreek.k12.in.us,219-750-1288
"Starke County Youth Club, Inc.",School Age Program,Not provided,Starke county residents,Starke,n/a,1,,Irene Szakonyi,iszakonyi@knox.k12.in.us,(574) 772-1600
The Adventure Club @ Bibich Elementary School,School Age Program,"The mission of The Adventure Club is to provide an Enriching, Inspiring, Educating, and Exciting (EIEE) place for children to learn and grow. The EIEE program enhances 6 core competencies that align with the educational goals of the school: 1) Language & Literacy; 2) Wellness & Safety; 3) Creative Arts; 4) Character Building; 5) Community Outreach & Social Learning; 6) Engineering & Problem Solving. Locally owned and operated in three school systems (Lake Central School Corporation, Tri-Creek School Corporation, and School Town of Munster) since 1992.",Lake county residents,Lake,n/a,1,www.theadventureclub.com,Dr. Sandra Duncan,info@theadventureclub.net,(219) 865-6283
The Adventure Club @ Eads Elementary,School Age Program,"The mission of The Adventure Club is to provide an Enriching, Inspiring, Educating, and Exciting (EIEE) place for children to learn and grow. The EIEE program enhances 6 core competencies that align with the educational goals of the school: 1) Language & Literacy; 2) Wellness & Safety; 3) Creative Arts; 4) Character Building; 5) Community Outreach & Social Learning; 6) Engineering & Problem Solving. Locally owned and operated in three school systems (Lake Central School Corporation, Tri-Creek School Corporation, and School Town of Munster) since 1992.",Lake county residents,Lake,n/a,1,www.theadventureclub.com,Dr. Sandra Duncan,info@theadventureclub.net,(219) 865-6283
The Adventure Club @ Ernest R. Elliott Elementary School,School Age Program,"The mission of The Adventure Club is to provide an Enriching, Inspiring, Educating, and Exciting (EIEE) place for children to learn and grow. The EIEE program enhances 6 core competencies that align with the educational goals of the school: 1) Language & Literacy; 2) Wellness & Safety; 3) Creative Arts; 4) Character Building; 5) Community Outreach & Social Learning; 6) Engineering & Problem Solving. Locally owned and operated in three school systems (Lake Central School Corporation, Tri-Creek School Corporation, and School Town of Munster) since 1992.",Lake county residents,Lake,n/a,1,www.theadventureclub.com,Dr. Sandra Duncan,info@theadventureclub.net,(219) 865-6283
The Adventure Club @ Frank H Hammond Elementary,School Age Program,"The mission of The Adventure Club is to provide an Enriching, Inspiring, Educating, and Exciting (EIEE) place for children to learn and grow. The EIEE program enhances 6 core competencies that align with the educational goals of the school: 1) Language & Literacy; 2) Wellness & Safety; 3) Creative Arts; 4) Character Building; 5) Community Outreach & Social Learning; 6) Engineering & Problem Solving. Locally owned and operated in three school systems (Lake Central School Corporation, Tri-Creek School Corporation, and School Town of Munster) since 1992.",Lake county residents,Lake,n/a,1,www.TheAdventureClub.com,Dr. Sandra Duncan,info@theadventureclub.net,(219) 865-6283
The Adventure Club @ Homan Elementary School,School Age Program,"The mission of The Adventure Club is to provide an Enriching, Inspiring, Educating, and Exciting (EIEE) place for children to learn and grow. The EIEE program enhances 6 core competencies that align with the educational goals of the school: 1) Language & Literacy; 2) Wellness & Safety; 3) Creative Arts; 4) Character Building; 5) Community Outreach & Social Learning; 6) Engineering & Problem Solving. Locally owned and operated in three school systems (Lake Central School Corporation, Tri-Creek School Corporation, and School Town of Munster) since 1992.",Lake county residents,Lake,n/a,1,,Dr. Sandra Duncan,info@theadventureclub.net,(219) 865-6283
The Adventure Club @ Kolling Elementary School,School Age Program,"The mission of The Adventure Club is to provide an Enriching, Inspiring, Educating, and Exciting (EIEE) place for children to learn and grow. The EIEE program enhances 6 core competencies that align with the educational goals of the school: 1) Language & Literacy; 2) Wellness & Safety; 3) Creative Arts; 4) Character Building; 5) Community Outreach & Social Learning; 6) Engineering & Problem Solving. Locally owned and operated in three school systems (Lake Central School Corporation, Tri-Creek School Corporation, and School Town of Munster) since 1992.",Lake county residents,Lake,n/a,1,www.theadventureclub.com,Dr. Sandra Duncan,info@theadventureclub.net,(219) 865-6283
The Adventure Club @ Montessori Academy of Northwest IN,School Age Program,"The mission of The Adventure Club is to provide an Enriching, Inspiring, Educating, and Exciting (EIEE) place for children to learn and grow. The EIEE program enhances 6 core competencies that align with the educational goals of the school: 1) Language & Literacy; 2) Wellness & Safety; 3) Creative Arts; 4) Character Building; 5) Community Outreach & Social Learning; 6) Engineering & Problem Solving. Locally owned and operated in three school systems (Lake Central School Corporation, Tri-Creek School Corporation, and School Town of Munster) since 1992.",Lake county residents,Lake,n/a,1,www.theadventureclub.com,Dr. Sandra Duncan,info@theadventureclub.net,(219) 865-6283
The Adventure Club @ Oak Hill Elementary School,School Age Program,"The mission of The Adventure Club is to provide an Enriching, Inspiring, Educating, and Exciting (EIEE) place for children to learn and grow. The EIEE program enhances 6 core competencies that align with the educational goals of the school: 1) Language & Literacy; 2) Wellness & Safety; 3) Creative Arts; 4) Character Building; 5) Community Outreach & Social Learning; 6) Engineering & Problem Solving. Locally owned and operated in three school systems (Lake Central School Corporation, Tri-Creek School Corporation, and School Town of Munster) since 1992.",Lake county residents,Lake,n/a,1,www.theadventureclub.com,Dr. Sandra Duncan,info@theadventureclub.net,(219) 865-6283
The Adventure Club @ Peifer Elementary School,School Age Program,"The mission of The Adventure Club is to provide an Enriching, Inspiring, Educating, and Exciting (EIEE) place for children to learn and grow. The EIEE program enhances 6 core competencies that align with the educational goals of the school: 1) Language & Literacy; 2) Wellness & Safety; 3) Creative Arts; 4) Character Building; 5) Community Outreach & Social Learning; 6) Engineering & Problem Solving. Locally owned and operated in three school systems (Lake Central School Corporation, Tri-Creek School Corporation, and School Town of Munster) since 1992.",Lake county residents,Lake,n/a,1,www.theadventureclub.com,Dr. Sandra Duncan,info@theadventureclub.net,(219) 865-6283
The Adventure Club @ Protsman Elementary School,School Age Program,"The mission of The Adventure Club is to provide an Enriching, Inspiring, Educating, and Exciting (EIEE) place for children to learn and grow. The EIEE program enhances 6 core competencies that align with the educational goals of the school: 1) Language & Literacy; 2) Wellness & Safety; 3) Creative Arts; 4) Character Building; 5) Community Outreach & Social Learning; 6) Engineering & Problem Solving. Locally owned and operated in three school systems (Lake Central School Corporation, Tri-Creek School Corporation, and School Town of Munster) since 1992.",Lake county residents,Lake,n/a,1,www.TheAdventureClub.com,Dr. Sandra Duncan,info@theadventureclub.net,(219) 865-6283
The Adventure Club @ St. John Bosco,School Age Program,"The mission of The Adventure Club is to provide an Enriching, Inspiring, Educating, and Exciting (EIEE) place for children to learn and grow. The EIEE program enhances 6 core competencies that align with the educational goals of the school: 1) Language & Literacy; 2) Wellness & Safety; 3) Creative Arts; 4) Character Building; 5) Community Outreach & Social Learning; 6) Engineering & Problem Solving. Locally owned and operated in three school systems (Lake Central School Corporation, Tri-Creek School Corporation, and School Town of Munster) since 1992.",Lake county residents,Lake,n/a,1,www.theadventureclub.com,Dr. Sandra Duncan,info@theadventureclub.net,(219) 865-6283
The Adventure Club @ Watson Elementary School,School Age Program,"The mission of The Adventure Club is to provide an Enriching, Inspiring, Educating, and Exciting (EIEE) place for children to learn and grow. The EIEE program enhances 6 core competencies that align with the educational goals of the school: 1) Language & Literacy; 2) Wellness & Safety; 3) Creative Arts; 4) Character Building; 5) Community Outreach & Social Learning; 6) Engineering & Problem Solving. Locally owned and operated in three school systems (Lake Central School Corporation, Tri-Creek School Corporation, and School Town of Munster) since 1992.",Lake county residents,Lake,n/a,1,www.theadventureclub.com,Dr. Sandra Duncan,info@theadventureclub.net,(219) 865-6283
Theodore Roosevelt High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Gary Community School Corporation,Lake,n/a,1,,Sandra Mosley,smosley@gotoworkonenw.com,219-981-4100
Tradewinds Services Inc./Little Treasures Childcare,Child Care Center,Summer program- Children with and without disabilities.,"Lake, Porter county residents",Lake,Porter,1,,Nadine Jones,info@tradewindservices.org,(219) 945-0100
Tri-Creek School Corporation,School Discticts /Corporations,,,Lake,,1,,,,
Tri-Township Cons School Corp,School Discticts /Corporations,,,LaPorte,,1,,,,
Union Township School Corp,School Discticts /Corporations,,,Porter,,1,,,,
Valparaiso Community Schools,School Discticts /Corporations,,,Porter,,1,,,,
West Central School Corp,School Discticts /Corporations,,,Pulaski,,1,,,,
Whiting School City,School Discticts /Corporations,,,Lake,,1,,,,
William A Wirt High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Gary Community School Corporation,Lake,n/a,1,http://www.garycsc.k12.in.us/schools/william-a-wirt-emerson-vpa/ ,Sandra Mosley,smosley@gotoworkonenw.com,219-981-4100
"YMCA of Valparaiso Indiana, Inc. School-age Program",School Age Program,"We offer a before and after school program for ages Kindergarten through 6th grade. We are a HEPA facility (healthy eating and physical activity) and provide fitness, swimming, outdoor play and gym play. We also provide help with homework and offer the STEM curriculum (Science, Technology, Engineering and Math).",Porter county residents,Porter,n/a,1,www.valpoymca.org,Diane Sonnenberg,dsonnenberg@valpoymca.org,(219) 464-9543
"YMCA of Valparaiso, IN @ Cooks Corner",School Age Program,Not provided,Porter county residents,Porter,n/a,1,http://www.valpoymca.org/,Diane Sonnenberg,dsonnenberg@valpoymca.org,(219) 462-4185
"Young Men's Christian Association of the Hammond Area, Inc.",School Age Program,Not provided,Lake county residents,Lake,n/a,1,,Columbia Elementary School,,(219) 933-2461
Elkhart & St Joseph Counties Head Start Consortium,Head Start,"Head Start promotes school preparation by enhancing the social and cognitive development of children through the provision of educational, health, nutritional, social and other services.","2 locations in Bristol, 7 locations in Elkhart, 4 locations in Goshen, 1 location in Lakeville, 3 locations in Mishawaka, 1 location in Nappanee, 1 location in South Bend, 1 location in Walkerton",StJoseph,"Clay, Elkhart",2,http://www.headstartesj.com ,Not Readily Available,jjarrell@hopewellcenter.org,(574) 283-8128
Elkhart Area Career Center,CTE Center,Empowering today's students to master their tomorrows.,"School Corporations : #2305 Elkhart, #2260 Baugo, #2275 Middlebury, #2285 Wa-Nee, #2315 Goshen, #7200 Mishawaka, #2270 Concord, #7175 Penn-Harris, #5480 Bremen",Elkhart,"Kosciusko, St. Joseph, Bremen",2,http://www.myeacc.org/Home.html ,Dr. David Benak,dbenak@elkhart.k12.in.us,574-262-5670
