Organization,Category,Mission/Goals,Service Area (Region),County,Also Serving,Region,Website,Contact Person,Email,Phone
Valparaiso University,Post-Secondary Education,"Valparaiso University, a community of learning dedicated to excellence and grounded in the Lutheran tradition of scholarship, freedom, and faith, prepares students to lead and serve in both church and society",1,Porter,n/a,1,www.valpo.edu,n/a,n/a,(219) 464-5000
Western Governors University Indiana (online),Post-Secondary Education,The principal mission of Western Governors University is to improve quality and expand access to post-secondary educational opportunities by providing a means for individuals to learn independent of time and place and to earn competency-based degrees and other credentials that are credible to both academic institutions and employers,1,n/a,n/a,1,http://www.wgu.edu/,n/a,n/a,1-855-948-8496
"Boy Scout Troop 152, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Burr Oak Mennonite Church, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Fellowship of Christian Students, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Greater Rensselaer Chamber of Commerce, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"HillCrest Family Dental Center, P.C., Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Jasper County Public Library, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Jasper Foundation, Inc., Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Judge John D. Potter, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Kankakee Valley High School, Wheatfield",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Knights of Columbus, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Rensselaer Central High School, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Rensselaer Central Middle School, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Rensselaer Republican/Kankakee Valley Post News, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Rensselaer Rotary, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Saint Joseph's College, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"St. Augustine Church, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"Van Rensselaer Elementary and Monnett Elementary, Rensselaer",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Jasper,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=37 ,Not Readily Available,Not Readily Available,Not Readily Available
"21st Century Scholars, Gary",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"Ancilla College, Donaldson",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"Campus Life, LaPorte",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"Center of Workforce Innovations, Valparaiso",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"Indiana University-Bloomington, School of Public Health, Bloomington",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"Indianapolis Algebra Project, Indianapolis",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"ISM College Planning, Indianapolis",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"Ivy Tech Community College - Northwest, Michigan CIty",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"Jobs for America's Graduates (JAG), La Porte",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"La Porte County Public Library, La Porte",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"MSD of New Durham Township, Westville",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"New Prairie High School, New Carlisle",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"Purdue University North Central, Westville",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"Ready NWI, Valparaiso",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,LaPorte,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=45 ,Not Readily Available,Not Readily Available,Not Readily Available
"21st Century Scholars, Gary",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"All Nations Youth Outreach Programs, Gary",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"Balfour Scholars Program, Bloomington",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"Boys & Girls Clubs of Northwest Indiana, Inc., Gary",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"Calumet New Tech High School, Gary",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"Center of Workforce Innovations, Valparaiso",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"Central High School, East Chicago",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"Communities In Schools - Lake County, East Chicago",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"Donald E. Gavit MS/HS, Hammond",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"Educational Talent Search, Hammond",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"Foundations of East Chicago, East Chicago",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"Gary Chamber of Commerce, Gary",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"Gary Frontiers Service Club Inc, Gary",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
"Gary Housing Authority, Gary",College Success Coalition,"The Indiana College Success Coalitions is a network of state and local organizations interested in increasing college access and success within the State of Indiana. Member organizations include local government, businesses, agencies, schools, local media, libraries, youth service organizations, service clubs, community foundations, faith-based organizations and others. Local organizations are part of county-level coalitions while statewide organizations are part of the state-level coalition. Collectively, these coalitions make up the Indiana College Success Coalition.",1,Lake,n/a,1,http://cgi.asainstitute.org/cgi-bin/csc/countyinfo?id=46 ,Not Readily Available,Not Readily Available,Not Readily Available
