Organization,Category,Mission/Goals,Service Area (Region),County,Also Serving,Region,Website,Contact Person,Email,Phone
Northwest Indiana Forum-B (Starke),Regional Economic Development Organization,"The Northwest Indiana Forum is the regional voice for the business community and the premier source of a full package of services that promote economic development and retention of quality jobs. With more than 130 member organizations, the Forum’s mission is to increase the broad-based wealth in Northwest Indiana through economic development.","Lake, LaPorte, Porter, and Starke counties.",Starke,"Lake, LaPorte, Starke",1,www.NWIForum.org,Heather Ennis,Not Readily Available,219.763.6303
Northwest Indiana Regional Development Authority (Lake),Regional Economic Development Organization,The RDA was created to partner with others in the “heavy lifting” required to develop the infrastructure that will make Northwest Indiana economically vibrant. The legislation that created the RDA directs us to focus on our region’s collective assets. These regional assets are interrelated as the basic building blocks of a local economy that must become globally competitive.,Lake and Porter counties.,Lake,n/a,1,www.In.gov/rda,Bill Hanna,Not Readily Available,219.644.3505
Northwest Indiana Regional Development Authority (Porter),Regional Economic Development Organization,The RDA was created to partner with others in the “heavy lifting” required to develop the infrastructure that will make Northwest Indiana economically vibrant. The legislation that created the RDA directs us to focus on our region’s collective assets. These regional assets are interrelated as the basic building blocks of a local economy that must become globally competitive.,Lake and Porter counties.,Porter,n/a,1,www.In.gov/rda,Bill Hanna,Not Readily Available,219.644.3505
Economic Development Corporation of Elkhart County,Local Economic Development Organization,"The Economic Development Corporation of Elkhart County is a not-for-profit economic organization serving the community with the cities, towns, chambers of commerce, investor partners, and businesses of Elkhart County, Indiana.  We are known as the “Concierge to Elkhart County Industry”. Our primary objectives are the retention and expansion of local businesses, attraction of new businesses to Elkhart County, and local entrepreneurial development.",Elkhart County,Elkhart,n/a,2,www.elkhartcountybiz.com,Dorinda Heiden-Guss,Dorinda@elkhartcountybiz.com,574.293.5627
Fulton Economic Development Corporation,Local Economic Development Organization,FEDCO serves as a growth and development partner for business and industry and as a community development partner for cities and towns of Fulton County. ,Fulton County,Fulton,n/a,2,www.fultondevelopment.org,Terry Lee,tlee@fultondevelopment.org,574.223.3326
Kosciusko Economic Development Corporation,Local Economic Development Organization,"Our mission is to promote economic development in Kosciusko County through the retention and expansion of existing business and industry, while attracting new business investments that complement the improvement of the quality of life.",Kosciusko County,Kosciusko,n/a,2,www.kdi-in.com,George Robertson,grobertson@kosciuskoedc.com,574.265.2601
Marshall County Economic Development Corp.,Local Economic Development Organization,The mission of the Marshall County EDC is to expand and diversify the economy of the County and its communities by fostering investment in new and existing facilities and creating entrepreneurial capacity. ,Marshall County,Marshall,n/a,2,www.marshallcountyedc.org,Jerry Chavez,jerry@marshallcountyedc.org,574.780.8734
Chamber of Commerce of St. Joseph County,Local Economic Development Organization,Mission: Be a catalyst for growth and prosperity for our members and community. Vision: To be a vibrant region in a competitive world.,St. Joseph County,StJoseph,n/a,2,www.sjchamber.org,Jeff Rea,jrea@sjchamber.org,574.400.4000
"Michiana Partnership, Inc (StJoseph)",Regional Economic Development Organization,Increasing regional economic prosperity through job growth.,"Elkhart, Kosciusko, Marshall, and St. Joseph counties.",StJoseph,"Elkhart, Kosciusko, Marshall",2,www.MichianaRegion.com,Regina Emberton,Not Readily Available,574.400.5432
"Michiana Partnership, Inc (Elkhart)",Regional Economic Development Organization,Increasing regional economic prosperity through job growth.,"Elkhart, Kosciusko, Marshall, and St. Joseph counties.",Elkhart,"Elkhart, Kosciusko, Marshall",2,www.MichianaRegion.com,Regina Emberton,Not Readily Available,574.400.5432
"Michiana Partnership, Inc (Kosciusko)",Regional Economic Development Organization,Increasing regional economic prosperity through job growth.,"Elkhart, Kosciusko, Marshall, and St. Joseph counties.",Kosciusko,"Elkhart, Kosciusko, Marshall",2,www.MichianaRegion.com,Regina Emberton,Not Readily Available,574.400.5432
"Michiana Partnership, Inc (Marshall)",Regional Economic Development Organization,Increasing regional economic prosperity through job growth.,"Elkhart, Kosciusko, Marshall, and St. Joseph counties.",Marshall,"Elkhart, Kosciusko, Marshall",2,www.MichianaRegion.com,Regina Emberton,Not Readily Available,574.400.5432
North Central Indiana Economic Development Partnership (Cass),Regional Economic Development Organization,"We’re a six-county region in the heart of Indiana’s manufacturing and agribusiness core, combining the rich resources of Cass, Clinton, Fulton, Howard, Miami, and Tipton Counties. We produce food, manufactured goods, and skilled workers who take pride in hard work and productivity. And we deliver what we produce to the nation, thanks to logistics leaders and a network of Interstate and Interstate-quality highways like the new Hoosier Heartland corridor and improvements to US 31, as well as major Class 1 and regional rail lines.","Cass, Clinton, Fulton, Howard, Miami, and Tipton counties.",Cass,n/a,4,www.nciedp.com,Terry Lee,Not Readily Available,574.223.3326
North Central Indiana Economic Development Partnership (Clinton),Regional Economic Development Organization,"We’re a six-county region in the heart of Indiana’s manufacturing and agribusiness core, combining the rich resources of Cass, Clinton, Fulton, Howard, Miami, and Tipton Counties. We produce food, manufactured goods, and skilled workers who take pride in hard work and productivity. And we deliver what we produce to the nation, thanks to logistics leaders and a network of Interstate and Interstate-quality highways like the new Hoosier Heartland corridor and improvements to US 31, as well as major Class 1 and regional rail lines.","Cass, Clinton, Fulton, Howard, Miami, and Tipton counties.",Clinton,n/a,4,www.nciedp.com,Terry Lee,Not Readily Available,574.223.3326
North Central Indiana Economic Development Partnership (Fulton),Regional Economic Development Organization,"We’re a six-county region in the heart of Indiana’s manufacturing and agribusiness core, combining the rich resources of Cass, Clinton, Fulton, Howard, Miami, and Tipton Counties. We produce food, manufactured goods, and skilled workers who take pride in hard work and productivity. And we deliver what we produce to the nation, thanks to logistics leaders and a network of Interstate and Interstate-quality highways like the new Hoosier Heartland corridor and improvements to US 31, as well as major Class 1 and regional rail lines.","Cass, Clinton, Fulton, Howard, Miami, and Tipton counties.",Fulton,n/a,2,www.nciedp.com,Terry Lee,Not Readily Available,574.223.3326
North Central Indiana Economic Development Partnership (Howard),Regional Economic Development Organization,"We’re a six-county region in the heart of Indiana’s manufacturing and agribusiness core, combining the rich resources of Cass, Clinton, Fulton, Howard, Miami, and Tipton Counties. We produce food, manufactured goods, and skilled workers who take pride in hard work and productivity. And we deliver what we produce to the nation, thanks to logistics leaders and a network of Interstate and Interstate-quality highways like the new Hoosier Heartland corridor and improvements to US 31, as well as major Class 1 and regional rail lines.","Cass, Clinton, Fulton, Howard, Miami, and Tipton counties.",Howard,n/a,4,www.nciedp.com,Terry Lee,Not Readily Available,574.223.3326
North Central Indiana Economic Development Partnership (Miami),Regional Economic Development Organization,"We’re a six-county region in the heart of Indiana’s manufacturing and agribusiness core, combining the rich resources of Cass, Clinton, Fulton, Howard, Miami, and Tipton Counties. We produce food, manufactured goods, and skilled workers who take pride in hard work and productivity. And we deliver what we produce to the nation, thanks to logistics leaders and a network of Interstate and Interstate-quality highways like the new Hoosier Heartland corridor and improvements to US 31, as well as major Class 1 and regional rail lines.","Cass, Clinton, Fulton, Howard, Miami, and Tipton counties.",Miami,n/a,4,www.nciedp.com,Terry Lee,Not Readily Available,574.223.3326
North Central Indiana Economic Development Partnership (Tipton),Regional Economic Development Organization,"We’re a six-county region in the heart of Indiana’s manufacturing and agribusiness core, combining the rich resources of Cass, Clinton, Fulton, Howard, Miami, and Tipton Counties. We produce food, manufactured goods, and skilled workers who take pride in hard work and productivity. And we deliver what we produce to the nation, thanks to logistics leaders and a network of Interstate and Interstate-quality highways like the new Hoosier Heartland corridor and improvements to US 31, as well as major Class 1 and regional rail lines.","Cass, Clinton, Fulton, Howard, Miami, and Tipton counties.",Tipton,n/a,4,www.nciedp.com,Terry Lee,Not Readily Available,574.223.3326
Adams County Economic Development Corporation,Local Economic Development Organization,"The Adams County Economic Development Corporation (ACEDC), a not-for-profit corporation, was originated to assist business development needs. We partner with local, regional and state agencies to create a strong link for industry interests. We aspire to support and enhance the diversification of our industry base by exploring opportunities with both domestic and international relations.",Adams County,Adams,n/a,3,www.adamscountyedc.com ,Larry Macklin,lmacklin@adamscountyedc.com,260.724.2588
Greater Fort Wayne Inc.,Local Economic Development Organization,"Mission: Together, we’re growing a more prosperous, vibrant community in Greater Fort Wayne. Vision:  Greater Fort Wayne will be recognized among the top metro centers in the country, home to innovative business, collaborative leaders, spirited entrepreneurs and a culturally rich, prosperous community.",Allen County,Allen,n/a,3,www.greaterfortwayneinc.com,John Urbahns,jurbahns@greaterfortwayneinc.com,260.203.5734
"DeKalb County Economic Development Partnership, Inc.",Local Economic Development Organization,"The mission of DeKalb County Economic Development Partnership, Inc. is to improve the quality of life for the citizens of DeKalb County through enhanced employment opportunities resulting from the responsible growth of business and industry.",DeKalb County,DeKalb,n/a,3,www.dekalbcountyedp.org,Ken McCrory,ken@dekalbedp.org,260.927.1180
Grant County Economic Growth Council,Local Economic Development Organization,"The mission of the Grant County Economic Growth Council is ""to facilitate investment and reinvestment for job retention and creation"" - See more at: http://www.grantcounty.com/about-us/#sthash.67TTtNS6.dpuf",Grant County,Grant,n/a,3,www.grantcounty.com,Tim Eckerle,teckerle@grantcounty.com,765.662.0650
Huntington County United Economic Development,Local Economic Development Organization,Mission: To maintain a unified economic development effort throughout Huntington County in order to promote opportunities for new job creation and capital investment in Huntington County. Vision: To make Huntington County a better place to live and work.,Huntington County,Huntington,n/a,3,www.hcued.com,Mark A. Wickersham,mark@hcued.com,260.356.5688
Lagrange County Economic Development Corporation,Local Economic Development Organization,"Our approach centers on four main areas of concentration: business retention and expansion, business attraction, entrepreneurial development and improving overall quality of life. This process guides us on our mission to better the lives of LaGrange County citizens, both individual and corporate, through the responsible growth and enhanced opportunities that economic development brings.",LaGrange County,LaGrange,n/a,3,www.lagrangecountyedc.com,Keith Gillenwater,KGillenwater@LaGrangeCountyEDC.com,260.499.4994
Noble County Economic Development Corporation,Local Economic Development Organization,Mission: The mission of the Noble County Economic Development Corporation (NCEDC) is to provide coordinated economic development resources promoting the assets of Noble County. Vision: Maximize the economic potential of Noble County's assets.,Noble County,Noble,n/a,3,www.noblecountyedc.com,Rick Sherck,rsherck@noblecountyedc.com,260.636.3800
Steuben County Economic Development Corporation,Local Economic Development Organization,"Vision: Steuben County will develop and sustain a diversified economy that promotes economic growth and innovation by embracing the ingenuity of employers, cultivating a highly-educated workforce, and maintaining a high quality of life valued by residents and visitors alike.",Steuben County,Steuben,n/a,3,www.steubenedc.com,David Koenig,david@steubenedc.com,260.665.6889
Economic Development Group of Wabash County,Local Economic Development Organization,"The Economic Development Group of Wabash County is dedicated to providing consultants, site selectors and business leaders the information and opportunities necessary to expand, start or relocate businesses in Wabash County, Indiana. We work closely with state, city and county government, along with other economic development organizations, to provide for the economic development needs of our community.",Wabash County,Wabash,n/a,3,www.edgwc.com,Bill Konyha,wkonyha@edgwc.com,260.563.5258
Wells County Economic Development,Local Economic Development Organization,"We use a region-wide approach to initiatives necessary for success, including workforce development, transportation enhancement, entrepreneurialism, and overall quality of life. - See more at: http://www.wellsedc.com/living-wells/why-wells-county-in/#sthash.Eu8o0Yvk.dpuf",Wells County,Wells,n/a,3,www.wellsedc.com,Tim Ehlerding,tehlerding@wellsedc.com,260.824.0510
Whitley County Economic Development Corporation,Local Economic Development Organization,"The Whitley County EDC serves as a single point of contact for business and industry in Whitley County, Indiana.  The EDC brings a unique skill set to the table for each client. Starting and growing a business requires the right tools, at the right time to get the job done. At the Whitley County EDC, we work together with you to plan, build and equip your business through every stage. By listening to your specific needs, we are able to create a custom toolbox solution that will take your business to the next stage, at no cost to you.",Whitley County,Whitley,n/a,3,www.whitleyedc.com,Alan Tio,atio@whitleyedc.com,260.244.5506
Energize - ECI (East Central Indiana)-A (Delaware),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Delaware,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-A (Blackford),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Blackford,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-A (Fayette),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Fayette,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-A (Grant),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Grant,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",3,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-A (Henry),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Henry,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-A (Jay),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Jay,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-A (Madison),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Madison,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",5,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-A (Randolph),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Randolph,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-A (Rush),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Rush,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Northeast Indiana Regional Partnership (Allen),Regional Economic Development Organization,Mission: To attract new business investment by generating business leads and building regional capacity through product development and effective regional collaboration. Vision: The Partnership is one of the top performing regional economic development organizations in the nation.,"Adams, Allen, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, and Whitley counties.",Allen,"Adams, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, Whitley",3,www.NEIndiana.com,John Sampson,Not Readily Available,260.469.3469
Northeast Indiana Regional Partnership (Adams),Regional Economic Development Organization,Mission: To attract new business investment by generating business leads and building regional capacity through product development and effective regional collaboration. Vision: The Partnership is one of the top performing regional economic development organizations in the nation.,"Adams, Allen, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, and Whitley counties.",Adams,"Adams, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, Whitley",3,www.NEIndiana.com,John Sampson,Not Readily Available,260.469.3469
Northeast Indiana Regional Partnership (DeKalb),Regional Economic Development Organization,Mission: To attract new business investment by generating business leads and building regional capacity through product development and effective regional collaboration. Vision: The Partnership is one of the top performing regional economic development organizations in the nation.,"Adams, Allen, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, and Whitley counties.",DeKalb,"Adams, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, Whitley",3,www.NEIndiana.com,John Sampson,Not Readily Available,260.469.3469
Northeast Indiana Regional Partnership (Huntington),Regional Economic Development Organization,Mission: To attract new business investment by generating business leads and building regional capacity through product development and effective regional collaboration. Vision: The Partnership is one of the top performing regional economic development organizations in the nation.,"Adams, Allen, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, and Whitley counties.",Huntington,"Adams, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, Whitley",3,www.NEIndiana.com,John Sampson,Not Readily Available,260.469.3469
Northeast Indiana Regional Partnership (LaGrange),Regional Economic Development Organization,Mission: To attract new business investment by generating business leads and building regional capacity through product development and effective regional collaboration. Vision: The Partnership is one of the top performing regional economic development organizations in the nation.,"Adams, Allen, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, and Whitley counties.",LaGrange,"Adams, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, Whitley",3,www.NEIndiana.com,John Sampson,Not Readily Available,260.469.3469
Northeast Indiana Regional Partnership (Noble),Regional Economic Development Organization,Mission: To attract new business investment by generating business leads and building regional capacity through product development and effective regional collaboration. Vision: The Partnership is one of the top performing regional economic development organizations in the nation.,"Adams, Allen, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, and Whitley counties.",Noble,"Adams, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, Whitley",3,www.NEIndiana.com,John Sampson,Not Readily Available,260.469.3469
Northeast Indiana Regional Partnership (Steuben),Regional Economic Development Organization,Mission: To attract new business investment by generating business leads and building regional capacity through product development and effective regional collaboration. Vision: The Partnership is one of the top performing regional economic development organizations in the nation.,"Adams, Allen, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, and Whitley counties.",Steuben,"Adams, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, Whitley",3,www.NEIndiana.com,John Sampson,Not Readily Available,260.469.3469
Northeast Indiana Regional Partnership (Wabash),Regional Economic Development Organization,Mission: To attract new business investment by generating business leads and building regional capacity through product development and effective regional collaboration. Vision: The Partnership is one of the top performing regional economic development organizations in the nation.,"Adams, Allen, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, and Whitley counties.",Wabash,"Adams, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, Whitley",3,www.NEIndiana.com,John Sampson,Not Readily Available,260.469.3469
Northeast Indiana Regional Partnership (Wells),Regional Economic Development Organization,Mission: To attract new business investment by generating business leads and building regional capacity through product development and effective regional collaboration. Vision: The Partnership is one of the top performing regional economic development organizations in the nation.,"Adams, Allen, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, and Whitley counties.",Wells,"Adams, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, Whitley",3,www.NEIndiana.com,John Sampson,Not Readily Available,260.469.3469
Northeast Indiana Regional Partnership (Whitley),Regional Economic Development Organization,Mission: To attract new business investment by generating business leads and building regional capacity through product development and effective regional collaboration. Vision: The Partnership is one of the top performing regional economic development organizations in the nation.,"Adams, Allen, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, and Whitley counties.",Whitley,"Adams, DeKalb, Huntington, LaGrange, Noble, Steuben, Wabash, Wells, Whitley",3,www.NEIndiana.com,John Sampson,Not Readily Available,260.469.3469
Benton County Economic Development Board,Local Economic Development Organization,"Growing Together, Reaching New Heights",Benton County,Benton,n/a,4,http://www.benton4biz.com/,Kelly Kepner,kkepner@bentoncounty.in.gov,765.884.2080
Carroll County Economic Development Corporation,Local Economic Development Organization,"Mission: The Carroll County Economic Development Corporation will be a pro-active leader 
in aunified pursuit to provide a dynamic and prosperous economy for the citizens 
and employers of Carroll County. ",Carroll County,Carroll,n/a,4,www.carrollcountyedc.com,Laura Walls,lwalls@carrollcountyedc.com,765.564.2060
Cass County Economic Development,Local Economic Development Organization,Not readily available.,Cass County,Cass,n/a,4,www.casscountyed.co.cass.in.us,Christy Householder,christy.householder@co.cass.in.us,574.732.2590
Clinton County Economic Development,Local Economic Development Organization,"Founded in 1914 as the Frankfort Industrial Association, the future of the current Clinton County Economic Development was quietly born.  As a result of that birth, the Economic Development program has evolved into an extension of the Clinton County Chamber of Commerce.  During this evolution, the creation of Partners in Progress came along side the Chamber and Economic Development and the results are over 200 million dollars invested in industry, infrastructure, and community since the year 2000.",Clinton County,Clinton,n/a,4,www.ccinchamber.org/economic-development,Shan Sheridan,shan@ccinchamber.org,765.654.5507
Fountain County Chamber of Commerce,Local Economic Development Organization,Not readily available.,Fountain County,Fountain,n/a,4,-,Don Hesler,dfhesler@sbcglobal.net,765.366.2817
Greater Kokomo Economic Development Alliance,Local Economic Development Organization,To provide the environment that will enable a more strategic and long-view strategy in making decisions to further grow and develop our community to meet the needs of the new economy. ,Howard County,Howard,n/a,4,www.greaterkokomo.com,Charlie Sparks,csparks@greaterkokomo.com,765.457.2000
Miami County Economic Development Authority,Local Economic Development Organization,"MCEDA is a unique partnership of private enterprise and government working as one for the prosperity of North Central Indiana. Our purpose is to coordinate local efforts to attract jobs and new business investment, provide assistance toexisting businesses to foster growth and retention, and assist in efforts to sustain and improve the quality of life for Miami County citizens.",Miami County,Miami,n/a,4,www.miamicountyeda.com,Jim Tidd,jtidd@miamicountyeda.com,765.689.0159
Montgomery County Economic Development,Local Economic Development Organization,"The basic mission of the Montgomery County Economic Development, Inc. is to serve as an active leader in the advancement of the economic health of Montgomery County, by serving as the focal point for business and industry growth, job retention, workforce development and economic development education that will result in a greater quality of life for the Montgomery County community.",Montgomery County,Montgomery,n/a,4,www.mcedinc.com,Kristin Clary,kristinclary@MCEDinc.com,765.362.6851
Greater Lafayette Commerce,Local Economic Development Organization,"GLC and its Economic Development Council are centered on seven strategies in their mission to enhance the Greater Lafayette region:1Create an environment conducive to growing technology and advanced manufacturing businesses.2Attract new business and industry.3Support the expansion and retention of major employers.4Develop new small businesses, while aiding in the expansion and retention of existing small- to medium-size businesses.5Forge partnerships with business, government and educational authorities, and encourage the community’s public and private sectors to invest in Greater Lafayette’s economic development.6Support the changing cultural diversity and quality-of-life needs of the community.7Professionally manage the GLC organization so as to maintain its financial stability, meet the expectations of its members and treat its employees in a professional manner.",Tippecanoe County,Tippecanoe,n/a,4,www.greaterlafayettecommerce.com,Jody Hamilton,jhamilton@greaterlafayettecommerce.com,765.742.4044
